,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit-Builder Loan,Personal Loan,Debt Consolidation Loan,Student Loan,Payday Loan,Mortgage Loan,Auto Loan,Home Equity Loan,High_spent_Medium_value_payments,High_spent_Small_value_payments,Low_spent_Large_value_payments,Low_spent_Medium_value_payments,Low_spent_Small_value_payments,Credit_Score
45,73928.46,4,5,8,0.0,7,7.0,10.14,2.0,2.0,548.2,35.2754365244368,191.0,0,15515.0,235.79032503182026,633.0801749681799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,2
46,73928.46,4,5,8,0.0,8,4.0,9.14,2.0,1.0,548.2,36.62479126183764,389.0,0,0.0,348.5093995125948,510.36110048740534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
47,73928.46,4,5,8,0.0,8,7.0,10.14,4.0,2.0,548.2,31.58098966831768,390.0,0,0.0,42.63559025189578,796.2349097481042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2
48,131313.4,0,1,8,2.0,0,3.0,9.34,2.0,2.0,352.16,32.200508995391914,367.0,0,137.6446054014217,378.1712535207537,858.462474411158,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,2
49,131313.4,0,1,8,2.0,-1,2.0,15.34,4.0,2.0,352.16,31.98371000755867,368.0,0,137.6446054014217,698.8732707169384,547.7604572149734,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,2
50,131313.4,0,1,8,2.0,0,3.0,9.34,4.0,2.0,352.16,31.803134495092277,369.0,0,911.2201793459374,188.06432109973838,1038.5694068321734,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,2
51,131313.4,0,1,8,2.0,0,2.0,8.34,4.0,2.0,352.16,42.64578489930634,370.0,0,23834.0,337.43495631738324,899.1987716145285,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,2
52,131313.4,0,1,8,2.0,0,4.0,9.34,4.0,2.0,352.16,40.902517150451615,371.0,0,32662.0,263.3789089320552,963.2548189998564,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,2
53,131313.4,0,1,8,-100.0,0,3.0,11.34,4.0,2.0,352.16,41.98016961054943,372.0,0,911.2201793459374,86.56638801207531,1140.0673399198365,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1
54,10909427.0,0,1,8,2.0,0,2.0,9.34,4.0,2.0,352.16,26.94756515223988,373.0,0,911.2201793459374,930.3918977796665,326.24183015224526,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,2
55,131313.4,0,1,8,2.0,0,2.0,9.34,4.0,2.0,352.16,29.18791265416669,374.0,0,911.2201793459374,870.52238171816,396.1113462137519,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,2
56,34081.38,8,7,15,3.0,30,11.0,17.13,5.0,1.0,1704.18,24.44806274625548,191.0,0,70.47833267207261,162.4410091967751,298.19215813115227,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0
57,34081.38,8,7,15,3.0,30,14.0,17.13,5.0,1.0,1704.18,35.171160021263034,176.0,1,70.47833267207261,38.4369827577036,392.19618457022375,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0
58,34081.38,8,7,15,3.0,31,14.0,17.13,5.0,1.0,1704.18,35.11155247196594,177.0,1,70.47833267207261,199.7207654954979,260.9124018324295,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0
59,34081.38,8,7,15,3.0,34,14.0,21.13,5.0,1.0,1704.18,29.76215930632113,178.0,1,70.47833267207261,220.55219192916718,260.0809753987602,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
60,34081.38,8,7,15,3.0,27,14.0,17.13,5.0,1.0,1704.18,30.206214222610893,179.0,1,70.47833267207261,10000.0,397.2283547370202,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1
61,34081.38,8,7,15,-100.0,30,14.0,18.13,5.0,1.0,1704.18,31.17087232096111,180.0,1,70.47833267207261,10000.0,410.6743660782873,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1
62,34081.38,8,7,15,3.0,30,11.0,17.13,5.0,1.0,1704.18,38.438505084064886,181.0,0,70.47833267207261,55.45978063925893,395.17338668866836,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1
63,34081.38,8,7,15,3.0,30,14.0,17.13,9.0,1.0,1704.18,33.82348834412097,182.0,1,70.47833267207261,29.32636371091455,411.3068036170128,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0
64,114838.41,2,5,7,-100.0,13,11.0,8.24,3.0,2.0,1377.74,33.66455429077268,256.0,0,226.8927919215432,215.19351594560425,802.3004421328528,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
65,114838.41,2,5,7,3.0,14,8.0,8.22,3.0,2.0,1377.74,27.62632548676964,257.0,0,226.8927919215432,212.23560220847847,785.2583558699787,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,2
66,114838.41,2,5,7,3.0,11,11.0,8.22,3.0,2.0,1377.74,35.14156730186042,258.0,0,226.8927919215432,470.3857956796373,547.1081623988198,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
67,114838.41,2,5,7,3.0,11,14.0,8.24,8.0,2.0,1377.74,30.4590318418306,259.0,0,226.8927919215432,225.08204945419,772.411908624267,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
68,114838.41,2,5,7,3.0,11,11.0,11.24,8.0,2.0,1377.74,29.819186633421047,260.0,0,226.8927919215432,649.8093641841638,367.6845938942932,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1
69,114838.41,2,5,7,3.0,13,14.0,8.24,8.0,1.0,1377.74,26.114213868949623,261.0,0,226.8927919215432,546.3805705230692,491.11338755538793,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
70,114838.41,2,5,7,3.0,11,19.0,8.24,8.0,2.0,1377.74,31.76751564697107,262.0,0,226.8927919215432,215.4682977385688,792.0256603398883,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,2
71,114838.41,2,5,7,3.0,11,11.0,8.24,8.0,2.0,1377.74,27.813353640375272,263.0,0,226.8927919215432,254.57176724837916,742.9221908300779,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1
72,31370.8,0,5,12,2.0,4,0.0,5.76,2.0,2.0,421.43,29.51935255713933,191.0,0,46.61612907334207,154.352781097101,341.55442316289026,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,2
73,31370.8,1,6,12,2.0,2,0.0,-1.2400000000000002,2.0,2.0,421.43,28.22048095698559,318.0,0,46.61612907334207,298.7444693112266,227.1627349487646,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,2
74,31370.8,1,6,12,2.0,-2,0.0,1.7599999999999998,5.0,2.0,421.43,31.04641790511995,319.0,0,46.61612907334207,140.8206959818371,375.0865082781542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,2
75,31370.8,1,6,12,2.0,1,0.0,5.76,5.0,1.0,421.43,30.1680304036694,320.0,0,46.61612907334207,233.6055264233428,292.3016778366485,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,2
76,31370.8,1,6,12,2.0,1,0.0,5.76,5.0,1.0,421.43,25.18923173183331,321.0,0,16415.0,184.70057162057685,341.20663263941435,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,2
77,31370.8,1,6,12,2.0,1,0.0,5.76,5.0,2.0,421.43,25.502468550245663,191.0,0,46.61612907334207,137.71742489512621,378.18977936486505,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,2
78,31370.8,1,6,12,-100.0,-1,2.0,5.76,5.0,2.0,421.43,22.762202172732568,323.0,0,46.61612907334207,188.3949004901688,337.51230376982244,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,2
79,31370.8,1,6,12,2.0,-2,2.0,5.76,5.0,1.0,421.43,37.56505276771999,324.0,0,46.61612907334207,252.6448271968889,273.2623770631024,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,2
80,33751.27,5,5,20,3.0,16,20.0,11.0,4.0,1.0,1328.93,37.08907564543987,230.0,0,65.00817428651536,117.30669710658556,362.54571194023237,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1
81,33751.27,5,5,20,3.0,16,20.0,11.0,4.0,1.0,1328.93,30.908080633467584,231.0,1,65.00817428651536,70.13107792087979,399.7213311259382,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1
82,33751.27,5,5,20,3.0,16,20.0,11.0,8.0,1.0,1328.93,38.03072168039317,232.0,1,65.00817428651536,270.18258222151513,229.6698268253028,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1
83,33751.27,5,5,20,3.0,17,22.0,11.0,8.0,1.0,1328.93,23.40441277698757,233.0,1,65.00817428651536,25.192561910314712,444.65984713650323,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1
84,33751.27,5,5,20,3.0,16,20.0,8.0,8.0,1.0,1328.93,29.073758182245705,234.0,1,65.00817428651536,243.32968479530567,276.5227242515123,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1
85,33751.27,5,5,20,3.0,16,20.0,11.0,8.0,1.0,1328.93,32.78263672653516,235.0,1,65.00817428651536,72.86008181289458,406.9923272339233,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1
86,33751.27,5,5,20,3.0,16,20.0,11.0,8.0,1.0,1328.93,35.58400504980836,236.0,1,65.00817428651536,35.427169541683696,444.4252395051343,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1
87,33751.27,5,5,20,3.0,16,17.0,11.0,8.0,1.0,1328.93,31.13948358493632,191.0,1,65.00817428651536,25.969611914778515,443.88279713203934,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1
88,88640.24,3,6,1,2.0,-1,0.0,3.51,3.0,2.0,950.36,28.210617211444603,305.0,0,135.17337097171767,98.93176402067013,732.563531674279,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1
89,88640.24,3,6,433,2.0,4,2.0,3.51,3.0,2.0,950.36,41.036168282350594,306.0,0,135.17337097171767,157.174788304235,674.3205073907143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,2
90,88640.24,3,6,1,2.0,4,0.0,3.51,3.0,2.0,950.36,34.67019437922772,307.0,0,135.17337097171767,298.1889114624804,543.3063842324688,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,1
91,88640.24,3,6,1,2.0,4,2.0,3.51,3.0,2.0,950.36,31.82853557484664,308.0,0,135.17337097171767,10000.0,86.63611982901625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1
92,88640.24,3,6,1,2.0,4,2.0,3.51,3.0,2.0,950.36,34.702836927947075,309.0,0,135.17337097171767,279.61862207772435,561.8766736172248,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,2
93,88640.24,3,6,1,2.0,4,0.0,3.51,3.0,2.0,950.36,38.32363895436978,310.0,0,135.17337097171767,686.1262165951837,195.36907909976551,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,2
94,88640.24,3,6,1,2.0,4,2.0,3.51,3.0,1.0,950.36,25.97917280396149,311.0,0,80357.0,164.0748218779106,667.4204738170387,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,2
95,88640.24,3,6,1,2.0,-1,19.0,3.51,3.0,2.0,950.36,30.87079911079545,312.0,0,135.17337097171767,98.44195128223792,733.0533444127112,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,2
96,54392.16,6,4,14,3.0,10,8.0,5.54,3.0,1.0,179.22,25.64924606724341,322.0,1,124.39208242092045,243.73543739209438,378.54048018698535,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1
97,54392.16,6,4,14,3.0,10,10.0,4.54,3.0,1.0,179.22,29.40877527612245,323.0,1,124.39208242092045,142.75186411942676,459.52405345965286,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
98,54392.16,6,4,14,3.0,15,11.0,5.54,3.0,1.0,179.22,31.25892846912917,324.0,0,124.39208242092045,33.349568589344514,558.9263489897351,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
99,54392.16,6,4,14,3.0,10,7.0,0.54,3.0,1.0,179.22,27.19258740532601,325.0,1,124.39208242092045,494.8422277056662,147.43368987341347,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
100,54392.16,6,4,14,3.0,10,8.0,11.54,3.0,1.0,179.22,34.59532445612005,326.0,1,124.39208242092045,233.1184454152274,409.15747216385233,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
101,54392.16,6,4,14,3.0,10,8.0,5.54,3.0,1.0,179.22,23.195025404792624,327.0,1,124.39208242092045,635.1465605054178,7.129357073661937,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
102,54392.16,6,4,14,3.0,10,8.0,5.54,7.0,1.0,179.22,35.112531991297786,328.0,1,124.39208242092045,158.11240346721374,464.1635141118658,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1
103,54392.16,6,4,14,3.0,10,8.0,5.54,7.0,1.0,179.22,32.8788050668308,329.0,1,124.39208242092045,495.1178978821161,147.15801969696355,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
104,8701.545,6,5,32,7.0,23,9.0,8.86,6.0,1.0,2602.69,24.523163853918167,107.0,1,36.54819717138717,13.066209919444336,272.2984679091685,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,1,0,0,0
105,8701.545,6,5,32,7.0,23,9.0,8.86,6.0,1.0,2602.69,39.90251759709182,108.0,1,36.54819717138717,34.71516393565097,250.64951389296183,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,1,0,0,0
106,8701.545,6,5,32,7.0,23,19.0,8.86,6.0,1.0,2602.69,36.47591386327275,109.0,0,36.54819717138717,45.6509755447516,239.71370228386124,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,1,0,0,0
107,8701.545,6,5,32,7.0,22,7.0,8.86,6.0,1.0,2602.69,32.09749227865355,110.0,1,36.54819717138717,20.390183876957128,284.9744939516557,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0
108,8701.545,6,5,32,7.0,22,9.0,8.86,6.0,1.0,2602.69,37.16937449181636,111.0,1,36.54819717138717,50.486952198712274,254.87772562990054,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0
109,8701.545,6,5,32,7.0,23,6.0,8.22,6.0,1.0,2602.69,28.570031407996357,112.0,1,36.54819717138717,52.931613407134115,242.43306442147872,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,1,0,0
